CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
501,A. Doornekamp,Center,2.01,05/12/1985,Netherlands,http://www.acb.com/jugador.php?id=501
51A,Kenny Chery,Guard,1.80,24/01/1992,Canada,http://www.acb.com/jugador.php?id=51A
507,A. Randolph,Center,2.11,15/07/1989,Slovenia,http://www.acb.com/jugador.php?id=507
505,Jeff Brooks,Center,2.03,12/06/1989,Italy,http://www.acb.com/jugador.php?id=505
50G,A. Cvetkovic,Guard,1.88,12/11/1993,Serbia,http://www.acb.com/jugador.php?id=50G
50L,Adam Pechacek,Center,2.07,19/02/1995,Czech Rep.,http://www.acb.com/jugador.php?id=50L
50I,Rosco Allen,Center,2.08,05/05/1993,Hungary,http://www.acb.com/jugador.php?id=50I
500,J. Voigtmann,Center,2.11,30/09/1992,Germany,http://www.acb.com/jugador.php?id=500
50S,Ovie Soko,Forward,2.01,07/02/1991,United Kingdom,http://www.acb.com/jugador.php?id=50S
512,Marcos Delia,Center,2.11,08/04/1992,Italy,http://www.acb.com/jugador.php?id=512
50Q,Tomasz Gielo,Center,2.05,04/01/1993,Poland,http://www.acb.com/jugador.php?id=50Q
50M,Vladimir Jankovic,Forward,2.02,03/03/1990,Greece,http://www.acb.com/jugador.php?id=50M
502,Andrew Albicy,Guard,1.76,21/03/1990,France,http://www.acb.com/jugador.php?id=502
513,David Walker,Forward,1.97,24/11/1993,United States,http://www.acb.com/jugador.php?id=513
52J,Josh Akognon,Guard,1.80,10/02/1986,Nigeria,http://www.acb.com/jugador.php?id=52J
516,Francisco Cruz,Guard,1.91,03/10/1989,Mexico,http://www.acb.com/jugador.php?id=516
I3D,Carlos Alocen,Guard,1.89,30/12/2000,Spain,http://www.acb.com/jugador.php?id=I3D
517,Petteri Koponen,Guard,1.94,13/04/1988,Finland,http://www.acb.com/jugador.php?id=517
50C,Rodrigue Beaubois,Guard,1.88,24/02/1988,France,http://www.acb.com/jugador.php?id=50C
52N,Luka Rupnik,Guard,1.86,20/05/1993,Slovenia,http://www.acb.com/jugador.php?id=52N
721,Sergio Llorente,Guard,1.85,13/09/1990,Spain,http://www.acb.com/jugador.php?id=721
2CP,N. Dimitrijevic,Guard,1.86,23/02/1998,Macedonia,http://www.acb.com/jugador.php?id=2CP
51G,Vasilije Vucetic,Center,2.07,04/05/1996,Serbia,http://www.acb.com/jugador.php?id=51G
52W,Kevin Tumba,Center,2.06,23/02/1991,Belgium,http://www.acb.com/jugador.php?id=52W
I64,Josep Puerto,Guard,1.99,08/03/1999,Spain,http://www.acb.com/jugador.php?id=I64
530,Mike Tobey,Center,2.13,10/10/1994,United States,http://www.acb.com/jugador.php?id=530
1BA,X Lopez-Arostegui,Forward,2.00,19/05/1997,Spain,http://www.acb.com/jugador.php?id=1BA
53Y,Przemek Karnowski,Center,2.16,08/11/1993,Poland,http://www.acb.com/jugador.php?id=53Y
