CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
003573,"Zubkov, Andrey",Forward,2.06,29/06/1991,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=003573&seasoncode=E2017
005938,"Anderson, James",Guard,1.98,25/03/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005938&seasoncode=E2017
005014,"Jenkins, Charles",Guard,1.91,28/02/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005014&seasoncode=E2017
004251,"Thomas, Malcolm",Center,2.06,08/11/1988,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004251&seasoncode=E2017
005856,"Thomas, will",Forward,2.03,01/07/1986,Georgia,http://www.euroleague.net/competition/players/showplayer?pcode=005856&seasoncode=E2017
006643,"Puerto, Josep",Forward,2.0,08/03/1999,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=006643&seasoncode=E2017
003733,"Abalde, Alberto",Forward,2.02,15/12/1995,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=003733&seasoncode=E2017
LRQ,"Vanrossom, Sam",Guard,1.88,03/06/1986,Belgium,http://www.euroleague.net/competition/players/showplayer?pcode=LRQ&seasoncode=E2017
002742,"Dubljevic, Bojan",Center,2.05,24/10/1991,Montenegro,http://www.euroleague.net/competition/players/showplayer?pcode=002742&seasoncode=E2017
002361,"Vives, Guillem",Guard,1.92,16/06/1993,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=002361&seasoncode=E2017
001351,"Martinez, Rafa",Guard,1.9,03/03/1982,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=001351&seasoncode=E2017
LHK,"Pleiss, Tibor",Center,2.18,02/11/1989,Germany,http://www.euroleague.net/competition/players/showplayer?pcode=LHK&seasoncode=E2017
002936,"Sastre, Joan",Forward,2.01,10/12/1991,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=002936&seasoncode=E2017
005159,"Green, Erick",Guard,1.9,09/05/1992,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005159&seasoncode=E2017
002763,"Doornekamp, Aaron",Forward,2.01,05/12/1985,Netherlands,http://www.euroleague.net/competition/players/showplayer?pcode=002763&seasoncode=E2017
008041,"Hlinason, Tryggvi",Center,2.15,28/10/1997,Iceland,http://www.euroleague.net/competition/players/showplayer?pcode=008041&seasoncode=E2017
007870,"Davies, Brandon",Center,2.08,25/07/1991,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007870&seasoncode=E2017
006433,"Pangos, Kevin",Guard,1.88,26/01/1993,Slovenia,http://www.euroleague.net/competition/players/showplayer?pcode=006433&seasoncode=E2017
002582,"Toupane, Axel",Forward,2.01,23/07/1992,France,http://www.euroleague.net/competition/players/showplayer?pcode=002582&seasoncode=E2017
BWI,"Jankunas, Paulius",Forward,2.05,29/04/1984,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=BWI&seasoncode=E2017
006183,"Masiulis, Gytis",Forward,2.06,10/04/1998,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=006183&seasoncode=E2017
KPD,"Milaknis, Arturas",Guard,1.95,16/06/1986,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=KPD&seasoncode=E2017
