Number,GS,Player,MP,PTS,TwoP,TwoPA,TwoPPerc,ThreeP,ThreePA,ThreePPerc,FT,FTA,FTPerc,TRB,DRB,ORB,AST,STL,TOV,Counteratt,BLKfv,BLKag,Dunks,PF,PFrv,PlusMinus,PIR,Season,Type_season,Day,Date,Game,GameRes,Team,GameID,Website,CombinID,competition,MP_min,match_id,player_name_norm,player_id
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,4,0,0,0,1,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 16,2018-01-04,unicaja malaga-valencia basket,83-85,Valencia,122,http://www.euroleague.net/main/results/showgame?gamecode=122&seasoncode=E2017,,euroleague,0.0,2018-01-04||unicaja malaga-valencia basket,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,7,6,1,0,0,0,0,0,0,0,0,0,0,7,2017-18,Regular Season,Round 16,2018-01-04,fc barcelona lassa-cska moscow,85-72,0,123,http://www.euroleague.net/main/results/showgame?gamecode=123&seasoncode=E2017,,euroleague,0.0,2018-01-04||fc barcelona lassa-cska moscow,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,3,1,0,0,0,0,0,0,0,0,0,0,4,2017-18,Regular Season,Round 16,2018-01-04,fc barcelona lassa-cska moscow,85-72,CSKA,123,http://www.euroleague.net/main/results/showgame?gamecode=123&seasoncode=E2017,,euroleague,0.0,2018-01-04||fc barcelona lassa-cska moscow,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,0,4,0,0,1,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 16,2018-01-05,brose bamberg-khimki moscow region,70-74,0,124,http://www.euroleague.net/main/results/showgame?gamecode=124&seasoncode=E2017,,euroleague,0.0,2018-01-05||brose bamberg-khimki moscow region,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,2,0,0,0,0,0,0,0,0,0,0,3,2017-18,Regular Season,Round 16,2018-01-05,brose bamberg-khimki moscow region,70-74,Khimki,124,http://www.euroleague.net/main/results/showgame?gamecode=124&seasoncode=E2017,,euroleague,0.0,2018-01-05||brose bamberg-khimki moscow region,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2017-18,Regular Season,Round 16,2018-01-05,crvena zvezda mts belgrade-zalgiris kaunas,77-65,0,125,http://www.euroleague.net/main/results/showgame?gamecode=125&seasoncode=E2017,,euroleague,0.0,2018-01-05||crvena zvezda mts belgrade-zalgiris kaunas,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,5,3,2,0,0,1,0,0,0,0,0,0,0,4,2017-18,Regular Season,Round 16,2018-01-05,crvena zvezda mts belgrade-zalgiris kaunas,77-65,Zalgiris,125,http://www.euroleague.net/main/results/showgame?gamecode=125&seasoncode=E2017,,euroleague,0.0,2018-01-05||crvena zvezda mts belgrade-zalgiris kaunas,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2017-18,Regular Season,Round 16,2018-01-05,fenerbahce dogus istanbul-baskonia vitoria gasteiz,79-74,0,126,http://www.euroleague.net/main/results/showgame?gamecode=126&seasoncode=E2017,,euroleague,0.0,2018-01-05||fenerbahce dogus istanbul-baskonia vitoria gasteiz,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,2017-18,Regular Season,Round 16,2018-01-05,fenerbahce dogus istanbul-baskonia vitoria gasteiz,79-74,Baskonia,126,http://www.euroleague.net/main/results/showgame?gamecode=126&seasoncode=E2017,,euroleague,0.0,2018-01-05||fenerbahce dogus istanbul-baskonia vitoria gasteiz,team,team||euroleague
0,0,Team,0,0,0,0,0.0,0,0,0.0,0,0,0.0,6,3,3,0,0,0,0,0,0,0,0,0,0,6,2017-18,Regular Season,Round 16,2018-01-05,olympiacos piraeus-ax armani exchange olimpia milan,87-80,0,127,http://www.euroleague.net/main/results/showgame?gamecode=127&seasoncode=E2017,,euroleague,0.0,2018-01-05||olympiacos piraeus-ax armani exchange olimpia milan,team,team||euroleague
