competition,player_name_norm,rows,written_variants,variants
eurocup,candi leonardo,13,1,"Candi, Leonardo"
eurocup,carter josh,13,1,"Carter, Josh"
eurocup,cherry will,13,1,"Cherry, will"
eurocup,clifford dennis,13,1,"Clifford, Dennis"
eurocup,collins mardy,13,1,"Collins, Mardy"
eurocup,colom quino,13,1,"Colom, Quino"
eurocup,cummings will,13,1,"Cummings, will"
eurocup,cunningham jared,13,1,"Cunningham, Jared"
eurocup,dedovic nihad,13,1,"Dedovic, Nihad"
eurocup,echodas martynas,13,1,"Echodas, Martynas"
eurocup,ejim melvin,13,1,"Ejim, Melvin"
eurocup,eric michael,13,1,"Eric, Michael"
eurocup,fischer lucas,13,1,"Fischer, Lucas"
eurocup,flaccadori diego,13,1,"Flaccadori, Diego"
eurocup,forray toto,13,1,"Forray, Toto"
eurocup,franke yannick,13,1,"Franke, Yannick"
eurocup,garrett diante,13,1,"Garrett, Diante"
eurocup,gavel anton,13,1,"Gavel, Anton"
eurocup,gibson danny,13,1,"Gibson, Danny"
eurocup,gibson kyle,13,1,"Gibson, Kyle"
eurocup,giedraitis rokas,13,1,"Giedraitis, Rokas"
eurocup,gomes beto,13,1,"Gomes, Beto"
eurocup,gordic nemanja,13,1,"Gordic, Nemanja"
eurocup,grigonis marius,13,1,"Grigonis, Marius"
eurocup,gutierrez jorge,13,1,"Gutierrez, Jorge"
eurocup,hardy dwight,13,1,"Hardy, Dwight"
eurocup,harper demonte,13,1,"Harper, Demonte"
eurocup,harper justin,13,1,"Harper, Justin"
eurocup,hayes kenny,13,1,"Hayes, Kenny"
eurocup,hobbs braydon,13,1,"Hobbs, Braydon"
eurocup,hopson scotty,13,1,"Hopson, Scotty"
eurocup,howard william,13,1,"Howard, William"
eurocup,iannuzzi antonio,13,1,"Iannuzzi, Antonio"
eurocup,ivanovic nikola,13,1,"Ivanovic, Nikola"
eurocup,jaiteh mam,13,1,"Jaiteh, Mam"
eurocup,johnson jajuan,13,1,"Johnson, Jajuan"
eurocup,jomantas arturas,13,1,"Jomantas, Arturas"
eurocup,jones andre,13,1,"Jones, Andre"
eurocup,kaba alpha,13,1,"Kaba, Alpha"
eurocup,karasev sergey,13,1,"Karasev, Sergey"
eurocup,katic toni,13,1,"Katic, Toni"
eurocup,kidd stanton,13,1,"Kidd, Stanton"
eurocup,king alex,13,1,"King, Alex"
eurocup,koksal goksenin,13,1,"Koksal, Goksenin"
eurocup,kuric kyle,13,1,"Kuric, Kyle"
eurocup,landry kyle,13,1,"Landry, Kyle"
eurocup,lasme stephane,13,1,"Lasme, Stephane"
eurocup,lechthaler luca,13,1,"Lechthaler, Luca"
eurocup,lighty david,13,1,"Lighty, David"
eurocup,lockett trent,13,1,"Lockett, Trent"
eurocup,markoishvili manuchar,13,1,"Markoishvili, Manuchar"
eurocup,mazzola valerio,13,1,"Mazzola, Valerio"
eurocup,mekel gal,13,1,"Mekel, Gal"
eurocup,morency jean-frederic,13,1,"Morency, Jean-Frederic"
eurocup,murphy kevin,13,1,"Murphy, Kevin"
eurocup,musa dzanan,13,1,"Musa, Dzanan"
