competition,MP_min,PIR
acb,22.783333333333335,18
acb,23.883333333333333,15
acb,27.266666666666666,10
acb,18.0,-4
acb,11.716666666666667,8
acb,21.516666666666666,9
acb,27.333333333333332,2
acb,21.566666666666666,6
acb,29.483333333333334,14
acb,21.2,20
acb,24.866666666666667,-1
acb,0.0,0
acb,31.366666666666667,12
acb,23.716666666666665,5
acb,19.05,19
acb,25.133333333333333,8
acb,18.9,6
acb,24.35,1
acb,21.65,17
acb,12.516666666666667,1
acb,22.533333333333335,11
acb,25.066666666666666,12
acb,26.733333333333334,4
acb,24.783333333333335,9
acb,26.25,8
acb,20.133333333333333,0
acb,23.083333333333332,6
acb,22.516666666666666,24
acb,18.216666666666665,6
acb,18.55,10
acb,14.083333333333334,4
acb,0.0,0
acb,0.0,0
acb,7.083333333333333,0
acb,9.716666666666667,6
acb,17.333333333333332,1
acb,19.85,15
acb,19.983333333333334,6
acb,19.333333333333332,7
