fold,competition,feature,importance_mae_mean,importance_mae_std,n_test
2,ALL,PIR_roll5,0.2822673955602058,0.07613342889608642,647
2,ALL,PTS_roll10,0.08492413648517338,0.012815973942066622,647
2,ALL,PTS_roll5,0.46969385861728236,0.021317255013070774,647
2,ALL,STL_roll10,0.008700332334968763,0.006800650938411948,647
2,ALL,STL_roll5,0.01187248553861977,0.01792889697229802,647
2,ALL,TOV_roll10,0.008568733875109657,0.00840171375481117,647
2,ALL,TOV_roll5,0.05078623320194264,0.021953246957562556,647
2,ALL,TRB_roll10,-0.00109939164927777,0.0021655284685247558,647
2,ALL,TRB_roll5,0.0007628845139931783,0.0011448719787890116,647
2,ALL,TS_roll10,0.02388266804721333,0.012098142894868595,647
2,ALL,TS_roll5,0.047663406653830266,0.015983007564237102,647
2,ALL,eFG_roll10,0.008077340451072779,0.0022964197269074752,647
2,ALL,eFG_roll5,-0.003250463444904561,0.012329383787803166,647
2,ALL,rest_days_player,0.0028523629651777682,0.0024585428409660756,647
2,acb,competition,0.0,0.0,249
2,acb,3P_rate_roll10,0.01925078277756196,0.0071245572178722325,249
2,acb,3P_rate_roll5,0.0009499341476216117,0.026603425707106873,249
2,acb,AST_TOV_roll10,-0.016424535050558832,0.008942131794726929,249
2,acb,AST_TOV_roll5,-0.004220123736233638,0.0012185741583683257,249
2,acb,AST_roll10,0.005189353236318972,0.004724102982301833,249
2,acb,AST_roll5,0.005895849280462606,0.005471752489150747,249
2,acb,DRB_roll10,-0.0007895970613368775,0.006184550442213064,249
2,acb,DRB_roll5,0.0,0.0,249
2,acb,FGA_roll10,0.0140232403368028,0.02475628018558834,249
2,acb,FGA_roll5,0.16978941041881637,0.10859029195944922,249
2,acb,FTA_roll10,0.03163089709699971,0.029725793749929393,249
2,acb,FTA_roll5,0.12301787472585116,0.055408551682178814,249
2,acb,FT_rate_roll10,0.0029893904243490253,0.015394042864004795,249
2,acb,FT_rate_roll5,0.0016702726622140674,0.05087075796217718,249
2,acb,MP_min_roll10,0.005159707769269417,0.01253890385249502,249
2,acb,MP_min_roll5,0.026880105519940578,0.04566606320198842,249
2,acb,ORB_roll10,0.004481673551748067,0.009032977251910197,249
2,acb,ORB_roll5,0.0012356055237365382,0.002392662671534715,249
2,acb,PF_roll10,0.012872970230693425,0.010541007011036205,249
2,acb,PF_roll5,0.0009467208981979169,0.0009160812445889335,249
2,acb,PIR_roll10,0.0550168775212887,0.07895235263864996,249
2,acb,PIR_roll5,0.12492463189202549,0.11432904860940257,249
2,acb,PTS_roll10,0.09531986739378998,0.06292528185134681,249
2,acb,PTS_roll5,0.5053650885244817,0.17795736444938745,249
2,acb,STL_roll10,0.00016524550362078115,0.013606489965282098,249
2,acb,STL_roll5,0.002633702551612771,0.031690893997322445,249
2,acb,TOV_roll10,0.0217713048726468,0.020570979304932128,249
2,acb,TOV_roll5,0.005585433702605514,0.06794740497280426,249
2,acb,TRB_roll10,-0.0003094195255171073,0.004375894899527845,249
2,acb,TRB_roll5,0.0009195984535521617,0.00271680337133288,249
2,acb,TS_roll10,-0.0387584058852994,0.028778300804236257,249
2,acb,TS_roll5,0.10204872290717173,0.028919604798423978,249
2,acb,eFG_roll10,0.01838907889294088,0.004229052531313723,249
2,acb,eFG_roll5,-0.047814295201814974,0.025514017113896545,249
2,acb,rest_days_player,0.0019016608590707307,0.008417467465901936,249
2,eurocup,competition,0.0,0.0,237
2,eurocup,3P_rate_roll10,0.0027075877373276213,0.011537774088354713,237
2,eurocup,3P_rate_roll5,0.033554402763463644,0.03506690281138135,237
2,eurocup,AST_TOV_roll10,-0.013301989715358254,0.004558159300611788,237
2,eurocup,AST_TOV_roll5,-0.0011384682774330912,0.0015310827819728203,237
2,eurocup,AST_roll10,0.004563418480558745,0.0005752836777396449,237
2,eurocup,AST_roll5,0.005742338007850911,0.0007661971475065,237
2,eurocup,DRB_roll10,-0.004488118197101087,0.004732383034281198,237
2,eurocup,DRB_roll5,0.0,0.0,237
2,eurocup,FGA_roll10,-0.005086134365462058,0.01765186147515068,237
2,eurocup,FGA_roll5,0.3015893246764859,0.06556245591582137,237
2,eurocup,FTA_roll10,0.04398121217897675,0.022248847266632055,237
2,eurocup,FTA_roll5,0.17864141371165196,0.03062900214591922,237
2,eurocup,FT_rate_roll10,0.010801537313507126,0.009716819526789627,237
2,eurocup,FT_rate_roll5,-0.0108810210821078,0.026236436217868597,237
2,eurocup,MP_min_roll10,0.01376998631892512,0.007730816200811822,237
2,eurocup,MP_min_roll5,0.026180496058240976,0.027282424545612815,237
2,eurocup,ORB_roll10,0.0193303486204357,0.008170174629804175,237
2,eurocup,ORB_roll5,-0.005316691481848856,0.0030528089439091476,237
2,eurocup,PF_roll10,0.0108992391310327,0.012581210138605402,237
2,eurocup,PF_roll5,-0.0014728309125345619,0.0012838300722003747,237
2,eurocup,PIR_roll10,0.22843270436992108,0.079585978663468,237
2,eurocup,PIR_roll5,0.3470266309050064,0.08568217143795641,237
2,eurocup,PTS_roll10,0.14894562919434512,0.03583720438959761,237
2,eurocup,PTS_roll5,0.5858762387925884,0.053448166094489304,237
2,eurocup,STL_roll10,0.016469411736724206,0.010323476720042071,237
2,eurocup,STL_roll5,0.016224840455671873,0.024100772796686407,237
2,eurocup,TOV_roll10,0.010300264526207492,0.008257749954467802,237
2,eurocup,TOV_roll5,0.06322680926112234,0.020295491145424793,237
