model,seed,fold,competition,n_test,mae,rmse,r2
MLP_small_RLR_Huber,42,4,eurocup,166,5.965386885120482,7.818988934732253,0.10430154256033397
MLP_small_RLR_Huber,42,4,euroleague,161,5.3785030406832295,7.2742401462995145,0.17621905932349213
MLP_small_RLR_Huber,42,5,acb,340,5.266835040382352,6.978194505702656,0.1606529458341326
MLP_small_RLR_Huber,42,5,eurocup,163,5.498489665398773,7.219042349260712,0.25586780530182773
MLP_small_RLR_Huber,42,5,euroleague,333,5.164992114744744,6.8502464401534855,0.24395666770002344
MLP_small_RLR_Huber,123,1,acb,189,5.543082395873015,7.330623770914116,0.10409588436089934
MLP_small_RLR_Huber,123,1,eurocup,233,6.088349165193133,7.811847667142767,0.16592289968685003
MLP_small_RLR_Huber,123,1,euroleague,317,5.679022221104102,7.261976473954871,0.16104505957136606
MLP_small_RLR_Huber,123,2,acb,249,5.696489942008032,7.320124908209161,-0.04103759265132645
MLP_small_RLR_Huber,123,2,eurocup,237,6.282722112742617,8.227480034944499,0.08489827829750773
MLP_small_RLR_Huber,123,2,euroleague,161,5.99738865583851,7.840050064095237,0.13815887979656905
MLP_small_RLR_Huber,123,3,acb,193,5.309545167668396,6.803999271619026,0.11589315969667113
MLP_small_RLR_Huber,123,3,eurocup,165,5.89713170709091,8.030141040019027,0.21668799289007246
MLP_small_RLR_Huber,123,3,euroleague,164,5.654601170731707,7.498146223648822,0.10560372479935576
MLP_small_RLR_Huber,123,4,acb,190,5.945049703631578,7.499908741210451,0.18231449592456794
MLP_small_RLR_Huber,123,4,eurocup,166,5.920248629337349,7.762206747487403,0.11726358767156952
